clinic_id,clinic_name
12600,Samaritan Health Ministries
12602,"Erika Hegland, DO"
12603,Mid America Sleep Service
12604,Bridgeway Rehabilitation Services
12607,Dr.'s Choice Physical Therapy
12608,Physicians Care of Starke & Keystone
12610,New Haven Neurosurgical Associates
12611,"DBHMD Medicine, P.A."
12612,Fremont Family Medicine PC
12615,Stoney Mesa Family Practice
12616,"Amity Medical Group, Inc."
12618,Gary W. Muller M.D.
12621,"George N. Chidi, MD PA"
12622,"New York Dermatology & Mohs Surgery Group, PLLC"
12623,Sound Beach Pediatrics
12624,Sacred Heart Pediatrics
12625,"Mahesh Mathews, MD"
12626,Adam Milik MD
12631,Dr. David Matthews
12635,"Thomasville Internal Medicine, LLC"
12636,Regis Kwo MD
12638,"Monahan, Kevin"
12639,AVICENNA MEDICAL CLINIC
12641,SDM-1 Stop Primary and Urgent Care
12642,Achilles Health Care Services
12645,Foot and Ankle Care of South Jersey
12646,Adeeb Thomas
12647,Kingdom Natural Medicine
12649,David L Samani MD
